trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.996}",25,0,-118.74762582706458,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.992}",20,0,-145.0872740807027,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.2, 'e': 0.988}",25,0,-110.3660415271596,"{0: 10, 1: 7, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.984}",20,0,-83.61847710791906,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.98}",30,0,-177.14283728495047,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.2, 'e': 0.976}",20,0,-137.12090959292638,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.2, 'e': 0.972}",20,1,-34.66915920228114,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.2, 'e': 0.968}",25,9,-13.050205916702463,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.2, 'e': 0.964}",20,0,-32.41032208526221,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.96}",20,0,-181.7009136816282,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.2, 'e': 0.956}",20,0,-45.11592938557922,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.952}",25,0,-161.49631315378625,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.948}",20,0,-52.91602594235701,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.944}",20,0,-81.37448995054005,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.94}",25,0,-60.54976683240099,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.9359999999999999}",20,1,-105.06213807447921,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 1}",1
17,False,"{'a': 0.2, 'e': 0.9319999999999999}",30,0,-243.0465105104154,"{0: 13, 1: 6, 2: 7, 3: 0, 4: 4}",0
18,False,"{'a': 0.2, 'e': 0.9279999999999999}",20,0,-16.268243276174278,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
