trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.95}",25,10,-23.923926324180673,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
2,False,"{'a': 0.05, 'e': 0.8999999999999999}",20,0,-72.87218284121998,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.8499999999999999}",20,0,-52.980105994779024,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.7999999999999998}",25,0,-215.87051051864688,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
5,False,"{'a': 0.05, 'e': 0.7499999999999998}",20,0,-39.66272642083821,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.05, 'e': 0.6999999999999997}",20,0,-31.23179094198595,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.05, 'e': 0.6499999999999997}",20,0,-102.35749373074687,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.5999999999999996}",25,0,-131.72962259980406,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.05, 'e': 0.5499999999999996}",20,0,-141.85088267697736,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.05, 'e': 0.4999999999999996}",20,0,-140.42541511888228,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.05, 'e': 0.4499999999999996}",25,0,-158.08573766275285,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.05, 'e': 0.39999999999999963}",20,0,-25.634837045658013,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.34999999999999964}",25,0,-200.99401412978645,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.05, 'e': 0.29999999999999966}",25,0,-190.55120421052484,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.05, 'e': 0.24999999999999967}",20,9,-70.06287246860074,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.05, 'e': 0.19999999999999968}",30,0,-107.90607411433383,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.05, 'e': 0.1499999999999997}",30,0,-153.5909545508668,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.05, 'e': 0.09999999999999969}",20,0,-97.42248415628946,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.049999999999999684}",20,0,-143.64447372410294,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.05, 'e': -3.191891195797325e-16}",20,0,-76.91461341346356,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-209.36235972037042,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",20,0,-97.00203574232195,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-35.06634814116305,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-160.35490559210078,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-158.2356699034526,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-37.976981914962145,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-119.98481901520483,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-77.03114018554983,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-37.89365447280947,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-135.40927166148987,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
11,True,"{'a': 0, 'e': 0}",20,0,-26.090211820506088,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",30,0,-58.84040347095425,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",25,0,-67.55580921736285,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",30,0,-277.4326367790394,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 5}",0
15,True,"{'a': 0, 'e': 0}",20,0,-93.64939262456255,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
16,True,"{'a': 0, 'e': 0}",25,0,-127.87903254773562,"{0: 12, 1: 4, 2: 6, 3: 3, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",20,0,-98.17361269816746,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",1
18,True,"{'a': 0, 'e': 0}",20,0,-51.64891634067814,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
19,True,"{'a': 0, 'e': 0}",25,0,-207.29335117292806,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
20,True,"{'a': 0, 'e': 0}",20,0,-153.53813746711663,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
